ID_REF  CH1B_MEAN	CH1B_MEDIAN	CH1D_MEAN	CH2I_MEAN	CH2D_MEAN	CH2B_MEAN	CH2B_MEDIAN	CH2BN_MEDIAN	CH2DN_MEAN	CH2IN_MEAN	CORR	FLAG	VALUE	PIX_RAT2_MEDIAN	PERGTBCH1I_1SD	PERGTBCH2I_1SD	RAT1_MEAN	RAT1N_MEAN	RAT2_MEAN	RAT2N_MEAN	REGR	TOT_BPIX	TOT_SPIX	TOP	BOT	LEFT	RIGHT	UNF_VALUE
4470	2131	1976	1416	2278	894	1544	1384	1628	1052	2680	.674	0	-.429	.701	46	55	1.584	1.346	.631	.743	.328	761	80	828	838	409	419	-.429
4471	2152	1992	2550	3399	2015	1543	1384	1628	2371	3999	.88	0	-.105	.821	65	68	1.266	1.075	.79	.93	.703	761	80	828	838	420	430	-.105
4472	2231	1984	6764	6984	5592	1615	1392	1638	6578	8216	0	0	-.04	.824	76	78	1.21	1.028	.827	.973	0	753	80	828	838	432	442	-.04
4473	2266	1976	2495	3565	2165	1655	1400	1647	2547	4194	.855	0	.03	.93	70	75	1.152	.98	.868	1.021	.646	753	80	828	838	443	453	.03
4474	2337	1984	5279	4936	3496	1728	1440	1694	4113	5807	0	0	-.36	.693	68	72	1.51	1.283	.662	.779	0	727	80	827	837	454	464	-.36
4475	2493	2016	5039	4681	3217	1924	1464	1722	3785	5507	0	0	-.413	.632	71	72	1.566	1.331	.638	.751	0	727	80	827	837	465	475	-.413
4476	2813	2008	1528	2601	1137	2309	1464	1722	1338	3060	.774	0	-.192	.884	51	55	1.344	1.142	.744	.876	.499	727	80	827	837	476	486	-.192
4477	2834	2032	5977	5603	4107	2314	1496	1760	4832	6592	0	0	-.307	.685	70	73	1.455	1.237	.687	.808	0	727	80	827	837	487	497	-.307
4478	2910	2048	2594	2994	1498	2306	1496	1760	1762	3522	.702	0	-.558	.569	65	65	1.732	1.472	.577	.679	.398	727	80	827	837	498	508	-.558
4479	2329	1952	4942	3277	1837	1820	1440	1694	2161	3855	0	0	-1.193	.391	71	66	2.69	2.287	.372	.437	0	825	80	827	837	509	519	-1.193
4480	2133	1912	3351	4239	2823	1582	1416	1666	3321	4987	.922	0	-.013	.855	66	68	1.187	1.009	.842	.991	.713	839	80	827	837	520	530	-.013
4481	1979	1824	5601	6831	5719	1309	1112	1308	6728	8036	0	0	.264	1.006	83	93	.979	.832	1.021	1.201	0	1055	80	841	851	87	97	.264
4482	2171	1952	12472	10828	9668	1485	1160	1365	11374	12739	0	0	-.133	.774	83	90	1.29	1.097	.775	.912	0	791	80	841	851	98	108	-.133
4483	2271	2000	8747	5100	3900	1578	1200	1412	4588	6000	0	0	-.931	.452	81	83	2.243	1.906	.446	.525	0	727	80	841	851	109	119	-.931
4484	2177	1984	3361	3065	1849	1467	1216	1431	2175	3606	.801	0	-.628	.587	77	78	1.818	1.545	.55	.647	.404	727	80	841	851	120	130	-.628
4485	2156	1968	2227	2862	1646	1451	1216	1431	1936	3367	.733	0	-.202	.755	87	90	1.353	1.15	.739	.869	.515	761	80	841	851	131	141	-.202
4486	2144	1968	2641	2933	1709	1425	1224	1440	2011	3451	.819	0	-.393	.682	71	72	1.545	1.313	.647	.761	.473	761	80	841	851	142	152	-.393
4487	2106	1952	4684	4766	3550	1412	1216	1431	4176	5607	0	0	-.166	.789	83	82	1.319	1.122	.758	.892	0	749	80	841	851	154	164	-.166
4488	2055	1928	2067	2368	1160	1373	1208	1421	1365	2786	.919	0	-.599	.528	41	43	1.782	1.514	.561	.66	.483	739	80	841	851	165	175	-.599
4489	2043	1928	1406	2041	833	1375	1208	1421	980	2401	.909	0	-.521	.582	36	38	1.688	1.435	.592	.697	.514	703	80	841	851	176	186	-.521
4490	2011	1920	1531	2432	1216	1363	1216	1431	1430	2861	.628	0	-.098	.905	63	70	1.259	1.071	.794	.934	.391	693	80	841	851	187	197	-.098
4491	2012	1920	2090	2765	1549	1362	1216	1431	1822	3253	.742	0	-.198	.73	72	77	1.349	1.147	.741	.872	.446	690	80	841	851	198	208	-.198
4492	2040	1920	8250	7743	6543	1342	1200	1412	7697	9109	0	0	-.1	.792	83	90	1.261	1.072	.793	.933	0	690	80	841	851	209	219	-.1
4493	2026	1912	3016	4238	3038	1328	1200	1412	3574	4986	.869	0	.245	1.001	77	83	.993	.844	1.007	1.185	.75	690	80	841	851	220	230	.245
4494	2203	1928	1127	1807	591	1626	1216	1431	695	2126	.537	0	-.697	.628	50	47	1.907	1.622	.524	.617	.223	725	80	841	851	231	241	-.697
4495	2237	1944	1693	2656	1424	1693	1232	1449	1676	3125	.644	0	-.015	.767	76	83	1.189	1.01	.841	.99	.483	725	80	841	851	242	252	-.015
4496	2241	1968	3821	3040	1768	1712	1272	1496	2080	3576	.865	0	-.877	.471	83	80	2.161	1.837	.463	.544	.399	717	80	841	851	254	264	-.877
4497	2218	1976	2802	3472	2184	1696	1288	1515	2570	4085	.776	0	-.125	.806	85	82	1.283	1.09	.779	.917	.56	717	80	841	851	265	275	-.125
4498	2038	1968	6629	3968	2688	1397	1280	1506	3162	4668	0	0	-1.068	.392	82	82	2.466	2.096	.405	.477	0	690	80	841	851	276	286	-1.068
4499	2142	1920	679	1842	546	1651	1296	1525	642	2167	.741	0	-.081	.894	21	27	1.244	1.058	.804	.946	.806	690	80	841	851	287	297	-.081
4500	2167	1896	2832	4487	3191	1713	1296	1525	3754	5279	.785	0	.407	1.129	82	88	.887	.754	1.127	1.326	.786	690	80	841	851	298	308	.407
4501	2175	1896	3294	3888	2592	1755	1296	1525	3049	4574	.858	0	-.112	.754	80	83	1.271	1.08	.787	.926	.659	690	80	841	851	309	319	-.112
4502	2160	1880	2970	3901	2613	1722	1288	1515	3074	4589	.833	0	.05	.903	75	78	1.137	.966	.88	1.035	.701	725	80	841	851	320	330	.05
